country,indicator,date,value,Poblacion Anual
Austria,Daily hospital occupancy,2021-01-01,1858,8932664
Austria,Daily ICU occupancy,2021-01-01,385,8932664
Austria,Daily hospital occupancy,2021-01-02,1858,8932664
Austria,Daily ICU occupancy,2021-01-02,385,8932664
Austria,Daily hospital occupancy,2021-01-03,1864,8932664
Austria,Daily ICU occupancy,2021-01-03,363,8932664
Austria,Daily hospital occupancy,2021-01-04,1953,8932664
Austria,Daily ICU occupancy,2021-01-04,368,8932664
Austria,Daily hospital occupancy,2021-01-05,2033,8932664
Austria,Daily ICU occupancy,2021-01-05,371,8932664
Austria,Daily hospital occupancy,2021-01-06,2022,8932664
Austria,Daily ICU occupancy,2021-01-06,361,8932664
Austria,Daily hospital occupancy,2021-01-07,1981,8932664
Austria,Daily ICU occupancy,2021-01-07,373,8932664
Austria,Daily hospital occupancy,2021-01-08,2000,8932664
Austria,Daily ICU occupancy,2021-01-08,371,8932664
Austria,Daily hospital occupancy,2021-01-09,1957,8932664
Austria,Daily ICU occupancy,2021-01-09,369,8932664
Austria,Daily hospital occupancy,2021-01-10,1874,8932664
Austria,Daily ICU occupancy,2021-01-10,372,8932664
Austria,Daily hospital occupancy,2021-01-11,1918,8932664
Austria,Daily ICU occupancy,2021-01-11,379,8932664
Austria,Daily hospital occupancy,2021-01-12,1923,8932664
Austria,Daily ICU occupancy,2021-01-12,378,8932664
Austria,Daily hospital occupancy,2021-01-13,1825,8932664
Austria,Daily ICU occupancy,2021-01-13,354,8932664
Austria,Daily hospital occupancy,2021-01-14,1725,8932664
Austria,Daily ICU occupancy,2021-01-14,361,8932664
Austria,Daily hospital occupancy,2021-01-15,1705,8932664
Austria,Daily ICU occupancy,2021-01-15,337,8932664
Austria,Daily hospital occupancy,2021-01-16,1668,8932664
Austria,Daily ICU occupancy,2021-01-16,342,8932664
Austria,Daily hospital occupancy,2021-01-17,1635,8932664
Austria,Daily ICU occupancy,2021-01-17,328,8932664
Austria,Daily hospital occupancy,2021-01-18,1673,8932664
Austria,Daily ICU occupancy,2021-01-18,334,8932664
Austria,Daily hospital occupancy,2021-01-19,1729,8932664
Austria,Daily ICU occupancy,2021-01-19,332,8932664
Austria,Daily hospital occupancy,2021-01-20,1683,8932664
Austria,Daily ICU occupancy,2021-01-20,323,8932664
Austria,Daily hospital occupancy,2021-01-21,1606,8932664
Austria,Daily ICU occupancy,2021-01-21,340,8932664
