 Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month;Inflation Rate
Austria;0;0;0;0;1;2020;2020-1;0.5
Belgium;0;0;0;0;1;2020;2020-1;-0.6
Bulgaria;0;0;0;0;1;2020;2020-1;-2.4
Croatia;0;0;0;0;1;2020;2020-1;-0.6
Cyprus;0;0;0;0;1;2020;2020-1;-0.7
Czechia;0;0;0;0;1;2020;2020-1;-0.1
Denmark;0;0;35;45;1;2020;2020-1;-0.3
Estonia;0;0;0;0;1;2020;2020-1;-0.5
Finland;0;0;0;0;1;2020;2020-1;-0.1
France;0;0;3;3;1;2020;2020-1;-0.4
Germany;0;0;1;2;1;2020;2020-1;-0.5
Greece;0;0;0;0;1;2020;2020-1;-2.8
Hungary;0;0;0;0;1;2020;2020-1;-1.4
Iceland;0;0;0;0;1;2020;2020-1;-0.1
Ireland;0;0;0;0;1;2020;2020-1;-0.4
Italy;0;0;0;0;1;2020;2020-1;-0.5
Latvia;0;0;0;0;1;2020;2020-1;-0.3
Lithuania;0;0;0;0;1;2020;2020-1;-1.4
Luxembourg;0;0;0;0;1;2020;2020-1;-1.2
Malta;0;0;0;0;1;2020;2020-1;0.8
Netherlands;0;0;0;0;1;2020;2020-1;-0.7
North Macedonia;0;0;0;0;1;2020;2020-1;-0.7
Norway;0;0;0;0;1;2020;2020-1;1.9
Poland;0;0;0;0;1;2020;2020-1;-1.1
Portugal;0;0;0;0;1;2020;2020-1;-0.4
Romania;0;0;0;0;1;2020;2020-1;0.5
Slovakia;0;0;0;0;1;2020;2020-1;-0.5
Slovenia;0;0;0;0;1;2020;2020-1;-0.7
Spain;0;0;3;3;1;2020;2020-1;-1.5
Sweden;0;0;0;0;1;2020;2020-1;0.4
Switzerland;0;0;0;0;1;2020;2020-1;-0.1
United Kingdom;0;0;1;1;1;2020;2020-1;0.3
Austria;0;0;0;0;2;2020;2020-2;2.2
Belgium;0;0;3;3;2;2020;2020-2;1
Bulgaria;0;0;0;0;2;2020;2020-2;3.1
Croatia;0;0;0;0;2;2020;2020-2;1.2
Cyprus;0;0;0;0;2;2020;2020-2;1
Czechia;0;0;0;0;2;2020;2020-2;3.7
Denmark;0;0;50;95;2;2020;2020-2;0.7
Estonia;0;0;0;0;2;2020;2020-2;2
Finland;0;0;1;1;2;2020;2020-2;1.1
France;1;1;13;16;2;2020;2020-2;1.6
Germany;0;0;29;31;2;2020;2020-2;1.7
Greece;0;0;0;0;2;2020;2020-2;0.4
Hungary;0;0;0;0;2;2020;2020-2;4.4
Iceland;0;0;15;15;2;2020;2020-2;2.7
Ireland;0;0;0;0;2;2020;2020-2;0.9
Italy;3;3;178;178;2;2020;2020-2;0.2
Latvia;0;0;0;0;2;2020;2020-2;2.3
Lithuania;0;0;0;0;2;2020;2020-2;2.8
Luxembourg;0;0;0;0;2;2020;2020-2;1.8
Malta;0;0;0;0;2;2020;2020-2;1.1
Netherlands;0;0;0;0;2;2020;2020-2;1.3
North Macedonia;0;0;0;0;2;2020;2020-2;0
Norway;0;0;1;1;2;2020;2020-2;0.7
Poland;0;0;0;0;2;2020;2020-2;4.1
Portugal;0;0;1;1;2;2020;2020-2;0.5
Romania;0;0;0;0;2;2020;2020-2;2.9
Slovakia;0;0;0;0;2;2020;2020-2;3.1
Slovenia;0;0;0;0;2;2020;2020-2;2
Spain;1;1;16;19;2;2020;2020-2;0.9
Sweden;0;0;0;0;2;2020;2020-2;1.3
Switzerland;0;0;0;0;2;2020;2020-2;-0.2
United Kingdom;0;0;14;15;2;2020;2020-2;1.7
Austria;134;134;9196;9196;3;2020;2020-3;1.6
