country,indicator,year_week,value,,,,
Austria,Daily hospital occupancy,2020-W14,856,,,,
Austria,Daily hospital occupancy,2020-W14,823,,,,
Austria,Daily hospital occupancy,2020-W14,829,,,,
Austria,Daily hospital occupancy,2020-W14,826,,,,
Austria,Daily hospital occupancy,2020-W14,712,,,,
Austria,Daily hospital occupancy,2020-W15,824,,,,
Austria,Daily hospital occupancy,2020-W15,857,,,,
Austria,Daily hospital occupancy,2020-W15,829,,,,
Austria,Daily hospital occupancy,2020-W15,820,,,,
Austria,Daily hospital occupancy,2020-W15,771,,,,
Austria,Daily hospital occupancy,2020-W15,790,,,,
Austria,Daily hospital occupancy,2020-W15,792,,,,
Austria,Daily hospital occupancy,2020-W16,742,,,,
Austria,Daily hospital occupancy,2020-W16,759,,,,
Austria,Daily hospital occupancy,2020-W16,769,,,,
Austria,Daily hospital occupancy,2020-W16,729,,,,
Austria,Daily hospital occupancy,2020-W16,682,,,,
Austria,Daily hospital occupancy,2020-W16,647,,,,
Austria,Daily hospital occupancy,2020-W16,613,,,,
Austria,Daily hospital occupancy,2020-W17,611,,,,
Austria,Daily hospital occupancy,2020-W17,560,,,,
Austria,Daily hospital occupancy,2020-W17,524,,,,
Austria,Daily hospital occupancy,2020-W17,508,,,,
Austria,Daily hospital occupancy,2020-W17,495,,,,
Austria,Daily hospital occupancy,2020-W17,460,,,,
Austria,Daily hospital occupancy,2020-W17,449,,,,
Austria,Daily hospital occupancy,2020-W18,439,,,,
Austria,Daily hospital occupancy,2020-W18,425,,,,
Austria,Daily hospital occupancy,2020-W18,386,,,,
Austria,Daily hospital occupancy,2020-W18,372,,,,
Austria,Daily hospital occupancy,2020-W18,348,,,,
Austria,Daily hospital occupancy,2020-W18,314,,,,
Austria,Daily hospital occupancy,2020-W18,308,,,,
Austria,Daily hospital occupancy,2020-W19,309,,,,
Austria,Daily hospital occupancy,2020-W19,314,,,,
Austria,Daily hospital occupancy,2020-W19,321,,,,
Austria,Daily hospital occupancy,2020-W19,268,,,,
Austria,Daily hospital occupancy,2020-W19,258,,,,
Austria,Daily hospital occupancy,2020-W19,230,,,,
Austria,Daily hospital occupancy,2020-W19,219,,,,
Austria,Daily hospital occupancy,2020-W20,211,,,,
Austria,Daily hospital occupancy,2020-W20,205,,,,
Austria,Daily hospital occupancy,2020-W20,188,,,,
